"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,859,821,674,680","0.49%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$2,364,863,680,251","0.73%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,890,715,132,253","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,890,715,132,253","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,677,258,894,769","0.00%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$1,068,939,508,469","0.00%","USA","Analyze"
"FB","Facebook Inc Class A","Common stocks","Large cap","Communication Services","$954,292,022,799","0.00%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$695,425,000,000","0.06%","USA","Analyze"
"ASML","ASML Holding NV ADRs","ADRs","Large cap","Information Technology","$296,384,926,004","0.54%","The Netherlands","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$263,052,120,835","2.35%","USA","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$256,828,251,794","2.95%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$252,439,596,000","0.00%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$240,706,050,847","2.42%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$238,940,412,127","0.00%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$233,171,739,184","1.94%","USA","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$231,485,060,667","0.59%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$227,385,970,000","2.46%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$225,022,626,541","0.00%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$207,648,000,000","1.46%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$170,519,849,318","2.26%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$165,816,991,576","0.00%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$158,595,317,770","0.44%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$148,912,773,722","0.85%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$138,607,470,113","0.00%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$135,453,844,658","0.77%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$130,891,730,307","2.99%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$122,059,728,000","1.76%","USA","Analyze"
"JD","JD.com Inc ADRs","ADRs","Large cap","Consumer Discretionary","$119,376,385,628","0.00%","China","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$117,180,835,145","0.00%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$109,744,065,783","0.00%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$105,483,003,762","0.21%","USA","Analyze"
"ABNB","Airbnb, Inc.","Common stocks","Large cap","Consumer Discretionary","$101,578,757,280","0.00%","USA","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$101,402,991,129","0.00%","USA","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$99,143,237,402","1.62%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$94,787,090,807","0.83%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$93,825,825,598","1.96%","USA","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$90,779,735,487","3.87%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$89,762,470,783","0.00%","USA","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$81,838,201,533","1.02%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$78,756,830,371","0.00%","United Kingdom","Analyze"
"LCID","Lucid Group, Inc.","Common stocks","Large cap","Consumer Discretionary","$74,860,304,989","0.00%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$72,760,874,000","0.21%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$72,275,589,158","0.00%","USA","Analyze"
"PDD","Pinduoduo Inc. ADRs","ADRs","Large cap","Consumer Discretionary","$69,773,847,319","0.00%","China","Analyze"
"NTES","NetEase Inc ADRs","ADRs","Large cap","Communication Services","$69,540,437,468","0.79%","China","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$66,239,940,000","0.00%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$66,190,068,886","0.00%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$64,531,909,646","0.91%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$63,933,056,028","1.58%","USA","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$60,510,451,477","0.98%","The Netherlands","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$59,531,405,843","0.00%","USA","Analyze"
"MELI","Mercadolibre Inc","Common stocks","Large cap","Consumer Discretionary","$57,672,607,155","0.01%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$57,499,075,779","0.00%","USA","Analyze"
"BIDU","Baidu Inc ADRs of Class A","ADRs","Large cap","Communication Services","$54,578,610,000","0.00%","China","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$54,387,052,549","2.72%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$53,802,848,120","0.00%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$53,641,487,101","1.87%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$52,901,992,052","0.00%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$52,227,340,808","0.00%","USA","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$51,903,460,246","0.00%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$51,289,813,256","0.71%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$50,328,653,198","0.00%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$50,045,977,497","0.00%","USA","Analyze"
"XLNX","Xilinx Inc","Common stocks","Large cap","Information Technology","$49,704,980,816","0.18%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$49,353,960,000","0.00%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$47,065,540,056","0.00%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$46,947,610,942","0.64%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$46,901,569,227","3.43%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$46,900,571,430","0.00%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$46,635,975,100","0.00%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$46,454,677,602","2.00%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$46,206,395,040","1.09%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$46,011,756,109","4.19%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$45,925,114,714","0.00%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$45,212,811,044","3.30%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$44,129,331,535","0.00%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$43,183,207,126","1.08%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$43,028,520,615","0.00%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$42,022,066,538","0.84%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$40,831,523,209","0.00%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$38,876,868,373","0.00%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$38,219,464,690","0.00%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$37,781,548,564","1.06%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$36,991,305,104","0.52%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$36,953,144,102","2.65%","USA","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$35,668,749,312","1.59%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$35,477,527,802","0.00%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$34,676,598,613","1.84%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$33,631,155,735","0.55%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$32,736,751,387","0.00%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$32,226,004,553","0.00%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$32,072,241,099","1.42%","USA","Analyze"
"OKTA","Okta Inc Class A","Common stocks","Large cap","Information Technology","$30,891,200,767","0.00%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$30,843,725,249","0.00%","USA","Analyze"
"DOCU","Docusign Inc.","Common stocks","Large cap","Information Technology","$28,124,190,214","0.00%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$26,398,891,124","0.00%","USA","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$26,241,169,721","0.00%","USA","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$25,815,296,321","1.35%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$25,276,800,968","1.04%","USA","Analyze"
"SPLK","Splunk Inc","Common stocks","Large cap","Information Technology","$19,389,502,061","0.00%","USA","Analyze"
"PTON","Peloton Interactive, Inc. Class A","Common stocks","Large cap","Consumer Discretionary","$10,023,711,283","0.00%","USA","Analyze"
